number;cpm;int_temperature;ext_temperature;pressure;voltage;latitude;longitude;altitude;distance;time;sensors_check;gps_check;rssi;snr;frequency;bandwidth;SpreadFactor;Coderate;Power;#Received;#Lost
45;8;26;23;99882;2.51;0.000000;0.000000;0;0;31820;1;1;-44.00;9.25;434.562;31.25;12;7;17
46;5;27;23;99881;2.53;0.000000;0.000000;0;0;31830;1;1;-54.00;8.50;434.562;31.25;12;7;17
47;6;27;23;99881;2.69;0.000000;0.000000;0;0;31840;1;1;-52.00;8.75;434.562;31.25;12;7;17
48;3;27;23;99881;2.66;0.000000;0.000000;0;0;31850;1;1;-48.00;8.50;434.562;31.25;12;7;17
49;4;27;23;99880;2.55;0.000000;0.000000;0;0;31860;1;1;-49.00;8.50;434.562;31.25;12;7;17
50;3;27;23;99880;2.52;0.000000;0.000000;0;0;31870;1;1;-39.00;10.00;434.562;31.25;12;7;17
51;7;27;23;99880;2.35;0.000000;0.000000;0;0;31880;1;1;-47.00;10.75;434.562;31.25;12;7;17
52;4;27;23;99879;2.79;0.000000;0.000000;0;0;31890;1;1;-37.00;9.75;434.562;31.25;12;7;17
53;3;27;23;99878;2.62;0.000000;0.000000;0;0;31900;1;1;-37.00;9.50;434.562;31.25;12;7;17
54;5;27;23;99878;2.66;0.000000;0.000000;0;0;31910;1;1;-46.00;5.75;434.562;31.25;12;7;17
55;9;27;23;99877;2.88;0.000000;0.000000;0;0;31920;1;1;-48.00;14.25;434.562;31.25;12;7;17
56;3;27;23;99877;4.08;0.000000;0.000000;0;0;31930;1;1;-47.00;6.25;434.562;31.25;12;7;17
57;7;27;24;99876;2.61;0.000000;0.000000;0;0;31940;1;1;-50.00;8.50;434.562;31.25;12;7;17
58;1;27;24;99875;2.39;0.000000;0.000000;0;0;31950;1;1;-51.00;11.50;434.562;31.25;12;7;17
59;5;27;24;99875;2.54;0.000000;0.000000;0;0;31960;1;1;-61.00;10.50;434.562;31.25;12;7;17
60;6;27;23;99875;2.43;0.000000;0.000000;0;0;31970;1;1;-42.00;8.50;434.562;31.25;12;7;17
61;8;27;23;99874;2.40;0.000000;0.000000;0;0;31980;1;1;-40.00;9.75;434.562;31.25;12;7;17
62;5;27;23;99874;4.55;0.000000;0.000000;0;0;31990;1;1;-43.00;11.75;434.562;31.25;12;7;17
63;9;27;24;99874;2.65;0.000000;0.000000;0;0;32000;1;1;-39.00;8.25;434.562;31.25;12;7;17
64;5;28;24;99874;2.48;0.000000;0.000000;0;0;32010;1;1;-51.00;9.75;434.562;31.25;12;7;17
65;2;28;24;99873;2.63;0.000000;0.000000;0;0;32020;1;1;-46.00;10.00;434.562;31.25;12;7;17
66;1;28;24;99873;2.58;0.000000;0.000000;0;0;32030;1;1;-56.00;9.50;434.562;31.25;12;7;17
67;4;28;24;99873;2.69;0.000000;0.000000;0;0;32040;1;1;-55.00;12.00;434.562;31.25;12;7;17
68;3;28;24;99872;2.56;0.000000;0.000000;0;0;32050;1;1;-50.00;10.50;434.562;31.25;12;7;17
69;5;28;24;99871;2.67;0.000000;0.000000;0;0;32060;1;1;-42.00;9.25;434.562;31.25;12;7;17
70;4;28;24;99871;2.56;0.000000;0.000000;0;0;32070;1;1;-57.00;9.00;434.562;31.25;12;7;17
71;4;28;24;99871;2.71;0.000000;0.000000;0;0;32080;1;1;-54.00;11.00;434.562;31.25;12;7;17
72;5;28;24;99870;2.82;0.000000;0.000000;0;0;32090;1;1;-63.00;8.75;434.562;31.25;12;7;17
